,date,close_price_usd,dow,week,rolling_3_day_average_closing_price_usd,rolling_7_day_average_closing_price_usd
460,2019-07-15,10838.72,0,2019-07-15,9982.076666666679,10343.90857142858
461,2019-07-14,10174.18,6,2019-07-08,10150.83000000001,10284.584285714296
462,2019-07-13,11355.76,5,2019-07-08,10789.553333333346,10372.517142857152
463,2019-07-12,11757.22,4,2019-07-08,11095.72000000001,10551.507142857154
464,2019-07-11,11342.89,3,2019-07-08,11485.29000000001,10653.754285714296
465,2019-07-10,12108.37,2,2019-07-08,11736.16000000001,11002.39000000001
466,2019-07-09,12543.41,1,2019-07-08,11998.223333333342,11445.792857142867
467,2019-07-08,12238.6,0,2019-07-08,12296.793333333342,11645.775714285726
468,2019-07-07,11406.24,6,2019-07-01,12062.750000000007,11821.784285714297
469,2019-07-06,11256.49,5,2019-07-01,11633.776666666672,11807.60285714287
470,2019-07-05,10970.73,4,2019-07-01,11211.153333333337,11695.247142857155
471,2019-07-04,11145.67,3,2019-07-01,11124.29666666667,11667.072857142868
472,2019-07-03,11940.0,2,2019-07-01,11352.133333333339,11643.020000000013
473,2019-07-02,10842.85,1,2019-07-01,11309.506666666673,11400.08285714287
474,2019-07-01,10624.93,0,2019-07-01,11135.926666666674,11169.558571428584
475,2019-06-30,10854.1,6,2019-06-24,10773.960000000006,11090.68142857144
476,2019-06-29,11903.13,5,2019-06-24,11127.386666666673,11183.058571428584
477,2019-06-28,12400.63,4,2019-06-24,11719.286666666672,11387.330000000014
478,2019-06-27,11329.99,3,2019-06-24,11877.916666666672,11413.661428571444
479,2019-06-26,13093.8,2,2019-06-24,12274.806666666673,11578.490000000016
480,2019-06-25,11820.86,1,2019-06-24,12081.550000000008,11718.205714285728
481,2019-06-24,11056.59,0,2019-06-24,11990.416666666673,11779.871428571441
482,2019-06-23,10906.07,6,2019-06-17,11261.17333333334,11787.295714285729
483,2019-06-22,10729.5,5,2019-06-17,10897.386666666673,11619.634285714299
484,2019-06-21,10159.86,4,2019-06-17,10598.476666666673,11299.524285714298
485,2019-06-20,9517.12,3,2019-06-17,10135.49333333334,11040.542857142867
486,2019-06-19,9255.49,2,2019-06-17,9644.156666666671,10492.212857142868
487,2019-06-18,9081.55,1,2019-06-17,9284.720000000007,10100.88285714287
488,2019-06-17,9313.96,0,2019-06-17,9217.000000000005,9851.935714285724
489,2019-06-16,8953.33,6,2019-06-10,9116.280000000006,9572.97285714287
490,2019-06-15,8808.7,5,2019-06-10,9025.330000000007,9298.572857142868
491,2019-06-14,8650.0,4,2019-06-10,8804.010000000007,9082.878571428582
492,2019-06-13,8218.54,3,2019-06-10,8559.080000000007,8897.367142857156
493,2019-06-12,8127.64,2,2019-06-10,8332.060000000007,8736.245714285727
494,2019-06-11,7884.9,1,2019-06-10,8077.026666666672,8565.295714285729
495,2019-06-10,7982.75,0,2019-06-10,7998.430000000005,8375.122857142871
496,2019-06-09,7628.13,6,2019-06-03,7831.926666666673,8185.808571428584
497,2019-06-08,7893.62,5,2019-06-03,7834.8333333333385,8055.08285714287
498,2019-06-07,7980.53,4,2019-06-03,7834.093333333338,7959.4442857142985
499,2019-06-06,7786.7,3,2019-06-03,7886.950000000004,7897.752857142869
500,2019-06-05,7776.5,2,2019-06-03,7847.910000000004,7847.590000000012
501,2019-06-04,7687.03,1,2019-06-03,7750.076666666671,7819.322857142869
502,2019-06-03,8115.82,0,2019-06-03,7859.783333333337,7838.332857142869
503,2019-06-02,8725.98,6,2019-05-27,8176.276666666671,7995.168571428584
504,2019-06-01,8544.07,5,2019-05-27,8461.95666666667,8088.090000000012
505,2019-05-31,8555.0,4,2019-05-27,8608.350000000004,8170.157142857155
506,2019-05-30,8269.54,3,2019-05-27,8456.203333333337,8239.134285714299
507,2019-05-29,8645.68,2,2019-05-27,8490.073333333336,8363.30285714287
508,2019-05-28,8715.64,1,2019-05-27,8543.620000000003,8510.247142857155
509,2019-05-27,8756.32,0,2019-05-27,8705.880000000003,8601.747142857153
510,2019-05-26,8614.43,6,2019-05-20,8695.463333333335,8585.81142857144
511,2019-05-25,8025.41,5,2019-05-20,8465.386666666667,8511.717142857155
512,2019-05-24,7964.87,4,2019-05-20,8201.570000000002,8427.41285714287
513,2019-05-23,7851.51,3,2019-05-20,7947.263333333336,8367.694285714297
514,2019-05-22,7628.43,2,2019-05-20,7814.936666666669,8222.37285714287
515,2019-05-21,7904.87,1,2019-05-20,7794.936666666669,8106.548571428583
516,2019-05-20,7938.15,0,2019-05-20,7823.816666666668,7989.667142857155
517,2019-05-19,8148.48,6,2019-05-13,7997.166666666668,7923.102857142869
518,2019-05-18,7257.45,5,2019-05-13,7781.3600000000015,7813.394285714297
519,2019-05-17,7355.26,4,2019-05-13,7587.063333333334,7726.307142857155
520,2019-05-16,7866.59,3,2019-05-13,7493.100000000001,7728.46142857144
521,2019-05-15,8169.87,2,2019-05-13,7797.240000000001,7805.810000000011
522,2019-05-14,7947.56,1,2019-05-13,7994.673333333335,7811.908571428582
523,2019-05-13,7790.71,0,2019-05-13,7969.380000000001,7790.845714285724
524,2019-05-12,6967.31,6,2019-05-06,7568.5266666666685,7622.107142857153
525,2019-05-11,7076.22,5,2019-05-06,7278.080000000002,7596.217142857154
526,2019-05-10,6373.33,4,2019-05-06,6805.620000000003,7455.941428571439
527,2019-05-09,6209.18,3,2019-05-06,6552.910000000003,7219.168571428583
528,2019-05-08,5987.29,2,2019-05-06,6189.933333333335,6907.3714285714395
529,2019-05-07,5846.34,1,2019-05-06,6014.270000000001,6607.197142857154
530,2019-05-06,5747.79,0,2019-05-06,5860.473333333335,6315.35142857144
531,2019-05-05,5775.62,6,2019-04-29,5789.916666666668,6145.110000000012
532,2019-05-04,5829.45,5,2019-04-29,5784.286666666668,5967.000000000012
533,2019-05-03,5772.69,4,2019-04-29,5792.586666666667,5881.194285714298
534,2019-05-02,5492.87,3,2019-04-29,5698.336666666667,5778.864285714298
535,2019-05-01,5383.2,2,2019-04-29,5549.586666666667,5692.565714285725
536,2019-04-30,5320.81,1,2019-04-29,5398.960000000002,5617.490000000012
537,2019-04-29,5238.14,0,2019-04-29,5314.050000000002,5544.682857142869
538,2019-04-28,5307.52,6,2019-04-22,5288.823333333335,5477.811428571439
539,2019-04-27,5295.69,5,2019-04-22,5280.450000000001,5401.560000000011
540,2019-04-26,5314.1,4,2019-04-22,5305.770000000001,5336.047142857154
541,2019-04-25,5219.9,3,2019-04-22,5276.563333333335,5297.051428571439
542,2019-04-24,5415.0,2,2019-04-22,5316.333333333336,5301.594285714296
543,2019-04-23,5493.31,1,2019-04-22,5376.070000000002,5326.237142857154
544,2019-04-22,5357.14,0,2019-04-22,5421.81666666667,5343.237142857154
545,2019-04-21,5256.14,6,2019-04-15,5368.863333333337,5335.897142857153
546,2019-04-20,5291.73,5,2019-04-15,5301.670000000003,5335.331428571438
547,2019-04-19,5258.68,4,2019-04-15,5268.850000000003,5327.414285714295
548,2019-04-18,5258.44,3,2019-04-15,5269.6166666666695,5332.92000000001
549,2019-04-17,5202.82,2,2019-04-15,5239.980000000003,5302.608571428581
550,2019-04-16,5173.72,1,2019-04-15,5211.6600000000035,5256.952857142867
551,2019-04-15,5024.95,0,2019-04-15,5133.8300000000045,5209.4971428571525
552,2019-04-14,5131.3,6,2019-04-08,5109.990000000004,5191.662857142867
553,2019-04-13,5045.22,5,2019-04-08,5067.15666666667,5156.447142857154
554,2019-04-12,5048.01,4,2019-04-08,5074.843333333337,5126.35142857144
555,2019-04-11,5017.37,3,2019-04-08,5036.8666666666695,5091.912857142868
556,2019-04-10,5308.25,2,2019-04-08,5124.543333333336,5106.974285714297
557,2019-04-09,5150.0,1,2019-04-08,5158.540000000003,5103.585714285726
558,2019-04-08,5236.9,0,2019-04-08,5231.71666666667,5133.864285714298
559,2019-04-07,5170.27,6,2019-04-01,5185.723333333336,5139.43142857144
560,2019-04-06,5043.89,5,2019-04-01,5150.353333333336,5139.241428571439
561,2019-04-05,5004.95,4,2019-04-01,5073.03666666667,5133.09000000001
562,2019-04-04,4898.66,3,2019-04-01,4982.500000000004,5116.131428571438
563,2019-04-03,4932.6,2,2019-04-01,4945.403333333338,5062.467142857152
564,2019-04-02,4857.29,1,2019-04-01,4896.183333333338,5020.6514285714375
565,2019-04-01,4144.56,0,2019-04-01,4644.816666666672,4864.602857142866
566,2019-03-31,4103.95,6,2019-03-25,4368.600000000005,4712.271428571436
567,2019-03-30,4106.97,5,2019-03-25,4118.493333333338,4578.425714285722
568,2019-03-29,4103.25,4,2019-03-25,4104.723333333338,4449.611428571437
569,2019-03-28,4027.81,3,2019-03-25,4079.343333333338,4325.204285714293
570,2019-03-27,4038.05,2,2019-03-25,4056.370000000004,4197.411428571437
571,2019-03-26,3948.55,1,2019-03-25,4004.803333333337,4067.5914285714366
572,2019-03-25,3936.12,0,2019-03-25,3974.2400000000034,4037.8142857142934
573,2019-03-24,3992.18,6,2019-03-18,3958.950000000003,4021.8471428571506
574,2019-03-23,4006.01,5,2019-03-18,3978.103333333336,4007.424285714293
575,2019-03-22,3986.93,4,2019-03-18,3995.040000000003,3990.80714285715
576,2019-03-21,3980.64,3,2019-03-18,3991.1933333333363,3984.0685714285787
577,2019-03-20,4043.04,2,2019-03-18,4003.53666666667,3984.781428571436
578,2019-03-19,4015.53,1,2019-03-18,4013.0700000000033,3994.350000000007
579,2019-03-18,3987.81,0,2019-03-18,4015.460000000003,4001.7342857142935
580,2019-03-17,3981.14,6,2019-03-11,3994.82666666667,4000.1571428571506
581,2019-03-16,4005.98,5,2019-03-11,3991.6433333333366,4000.1528571428644
582,2019-03-15,3923.76,4,2019-03-11,3970.2933333333367,3991.128571428579
583,2019-03-14,3877.12,3,2019-03-11,3935.620000000004,3976.3400000000074
584,2019-03-13,3866.0,2,2019-03-11,3888.960000000004,3951.0485714285787
585,2019-03-12,3882.73,1,2019-03-11,3875.283333333337,3932.07714285715
586,2019-03-11,3871.61,0,2019-03-11,3873.4466666666704,3915.4771428571503
587,2019-03-10,3916.82,6,2019-03-04,3890.3866666666704,3906.288571428579
588,2019-03-09,3943.04,5,2019-03-04,3910.490000000004,3897.2971428571504
589,2019-03-08,3864.89,4,2019-03-04,3908.2500000000036,3888.88714285715
590,2019-03-07,3873.64,3,2019-03-04,3893.85666666667,3888.390000000007
591,2019-03-06,3861.84,2,2019-03-04,3866.790000000003,3887.7957142857217
592,2019-03-05,3857.73,1,2019-03-04,3864.403333333337,3884.224285714293
593,2019-03-04,3715.3,0,2019-03-04,3811.6233333333366,3861.894285714293
594,2019-03-03,3807.75,6,2019-02-25,3793.5933333333364,3846.3128571428642
595,2019-03-02,3819.93,5,2019-02-25,3780.993333333337,3828.725714285721
596,2019-03-01,3823.0,4,2019-02-25,3816.893333333337,3822.741428571436
597,2019-02-28,3813.69,3,2019-02-25,3818.873333333337,3814.1771428571496
598,2019-02-27,3818.07,2,2019-02-25,3818.253333333337,3807.9242857142926
599,2019-02-26,3809.23,1,2019-02-25,3813.663333333337,3800.995714285721
600,2019-02-25,3827.92,0,2019-02-25,3818.40666666667,3817.084285714293
601,2019-02-24,3743.56,6,2019-02-18,3793.5700000000033,3807.9142857142933
602,2019-02-23,4117.76,5,2019-02-18,3896.413333333337,3850.4614285714365
